n_bits,acc_plain,acc_fhe,train_s,compile_s,fhe_s
6,0.965034965034965,0.95,0.3933842182159424,1.4346907138824463,159.29816198349
8,0.958041958041958,0.9,0.29952144622802734,1.4369008541107178,204.58708930015564
10,0.951048951048951,0.9,0.37073659896850586,1.5326623916625977,407.5610122680664
